"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"21K","Run","","1.86138888888889","21100","2026-02-27","","21315.619140625","300","496","1945.887","","1.80025637149811","3.28900003433228","","178","","166","181","","","0.844118622053731","144.18","0","0","15","86","5","2","0","","","","0","0","0","0","0","108","","","","","3","1"
"חימום","Run","","0.333333333333333","","2026-02-27","","1294.27001953125","189","359","127.707","","0.187185272574425","1.9210000038147","","150","","142","166","","","0.709012267991102","10","5","4","2","1","0","0","0","","","","2","0","0","0","0","8","","","","","1","5"
"רכיבת נפח","Bike","","3.25","","2026-02-28","","34425.80859375","","","","","1.34473550319672","7.11100006103516","","","","142","161","","","0.67014034921519","67.38","32","42","6","0","0","0","0","","","","","","","","","","","","","","1","5"
"Townsend","Bike","DescriptionTownsend consists of 90 minutes of aerobic Endurance riding spent between 60-70% FTP.GoalsAs with all aerobic endurance workouts this workouts goals are to condition your working muscles to utilize fat and preserve sugar stores to improve oxygen delivery to the muscles as well as enhance O2 utilization by those very muscles to increase muscular resistance to fatigue and to improve the integrity of your connective tissues. https://app.trainerday.com/workouts/townsend-18","1.5","","2026-02-28","","37011.28125","87","286","474.746","","1.50239312648773","6.84299993515015","","71","","125","138","","","0.624873479352642","58.14","90","0","0","0","0","0","0","","","","21","68","1","0","0","0","","","","","",""
"Pettit +1","Bike","Achievable • Endurance 4.0 פטיט זה טריינר של שעה אירובית הנעה בסח""ח בין 60 ל70 אחוז. בנוסף שילוב של מספר קטעים קצרים של ספרינטים בסוף.","1","","2026-03-01","","17988.640625","99","174","357.519","","1","4.99499988555908","","84","","138","156","","","0.64180960729407","40.7","39","18","3","0","0","0","0","","","","5","39","15","1","0","0","","","","","",""
"Z2 - לפי דופק","Run","","1.33333333333333","","2026-03-02","","12564.669921875","246","391","1179.129","","1.33326995372772","2.61800003051758","","167","","135","152","","","0.628262580204435","58.72","51","29","0","0","0","0","0","","","","2","0","0","0","0","78","","","","","3","1"
"Beech","Bike","Achievable • Endurance 4.1 בטריינר זה 60 דקות של עבודה אירובית שנעה בין 65 ל75 אחוז מהסחח.","1.00016666412354","","2026-03-03","","16808.779296875","106","183","379.923","","1.00027775764465","4.66699981689453","","78","","140","158","","","0.620539943767988","38.08","22","37","1","0","0","0","0","","","","4","30","25","1","0","0","","","","","",""
"Strength","Strength","","","","2026-03-03","","0","","","","","0.726154744625092","0","","","","96","141","","","0.571638127766827","26.08","44","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2026-03-03","","6102.60986328125","209","366","589.66","","0.783982217311859","2.16199994087219","","154","","124","155","","","0.620331601219445","33.21","40","7","0","0","0","0","0","","","","2","0","0","1","6","37","","","","","3","1"
"Z2 - לפי דופק","Run","","1.33333333333333","","2026-03-04","","10369.66015625","213","1403","968.688","","1.26395118236542","2.27900004386902","","162","","121","141","","","0.597247971593938","50.21","76","0","0","0","0","0","0","","","","1","1","1","1","4","69","","","","","4","9"
"Abraham","Bike","Productive • Threshold 2.0 אברהם זה טריינר שעובד על 3 סטים של 4 דקות ב105 מהסחח. התאוששות פעילה של 4 דקות.","1","","2026-03-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Active Mobility + Core Stability","Strength","Warm-Up (חימום – 5 דקות) ריצה קלה או חבל קפיצה (אם יש), תנועות דינמיות של ירכיים ופיתולי גוף. 3 סבבים בקצב איטי : Bird dog (בירד דוג – יישור יד ורגל נגדית על שש) https://youtube.com/shorts/mJ9JPdjYmGI?si=kjoPzj5W8UqQx3ec Side plank with leg lift (פלאנק צד עם הרמת רגל) https://youtu.be/cngmwRRKKdk?si=egR5qkUSAneY03kw Glute bridge march (גשר ישבן עם הרמת רגל לסירוגין) https://youtu.be/msfdrPWJ-9o?si=n0i5ESKMbP3wMfdS Dead bug (חרק מת – שכיבה על הגב עם הורדת יד ורגל נגדית) https://youtube.com/shorts/DqLL45uk2Tk?si=F1L3Hl_2cEud_mZs World's Greatest Stretch (מתיחת הלנג' הגדולה בעולם) https://youtube.com/shorts/OCXMbIzYJTQ?si=LgZ0_-5eB4CK3F-b","0.583333333333333","","2026-03-05","","","","","","","0.583333333333333","","","","","","","","","0.74","31.9","","","","","","","","","","","","","","","","","","","","","0","1"
"","Bike","","","","2026-03-05","","25471.26953125","","","","","1.23317170143127","5.73799991607666","","","","136","171","","","0.679999460315237","63.49","44","8","13","9","0","0","0","","","","","","","","","","","","","","1","1"
"Road Cycling","Bike","","","","2026-03-06","","66627.78125","","","","","3.23289775848389","5.72499990463257","","","","146","168","","","0.704622237712935","183.11","56","72","56","10","0","0","0","","","","","","","","","","","","","","3","1"
"TR_Hawk Mountain","Bike","Hawk Mountain is 2 hours of Tempo intervals spent between 70-80% FTP with brief intermittent 1- to 3-minute recoveries.Optional drills include form sprints endurance- spinning intervals some single-leg focus drills and some random pedalstroke work.GoalsHawk Mountains primary aim is to continue building aerobic power while preparing you to branch into harder efforts that will target muscular endurance.Try to keep your cadence above 85rpm unless instructed otherwise.The optional form drills target improvements in pedaling mechanics by focusing on the top bottom quadrants of your pedalstroke improvements in leg speed pedal economy and improvement in the application of power throughout each legs entire pedalstrokeForm Sprints: Practice high-rpm sprint simulations at low power outputs to reinforce proper sprinting technique by jumping out-of-the-saddle and winding up a light gear.As your cadence reaches its controllable peak gracefully transition into the saddle where you can shift gears if necessary.These sprints are only 10 seconds long and are all about leg speed form and technique so experiment with which foot leads and learn how to generate a lot of leg speed in very little time.Endurance Spinning: Practice spinning slightly quicker than your natural self-selected cadence.Ride at a cadence thats at the very top of your comfortable rpm range and remain there extended durations.The goal is to learn to turn the pedals more quickly with less forcemuscle stress thereby improving your ability to remain predominantly aerobic over a wide rpm range.If your HR rises more than a few bpm youre pedaling too quickly - take it easy and stay relaxed but quick.Single-Leg Focus: The objective here is to learn to apply power more effectively through the entire pedalstroke by focusing strictly on one legs activity through the bottom upstroke and over the top of the pedalstroke.For short durations devote your attention to one leg befo https://app.trainerday.com/workouts/tr_hawk-mountain","2","","2026-03-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy (Z1-2)","Run","","1.5","","2026-03-07","","14114.3896484375","246","393","1331.264","","1.50001215934753","2.61400008201599","","169","","143","152","","","0.658735862473568","72.84","24","66","0","0","0","0","0","","","","0","0","0","0","0","90","","","","","2","1"
"White -4","Bike","Achievable • Tempo 2.8 טריינר זה עובד על 50 דקות אירוביות בעבודה בין 65 ל75 אחוז מהסחח.","1","","2026-03-08","","17040.140625","112","171","402.396","","1","4.73199987411499","","80","","147","165","","","0.726161846905242","52.43","10","28","21","1","0","0","0","","","","6","11","39","3","0","0","","","","","",""
"Strength","Strength","","","","2026-03-08","","0","","","","","0.862413048744202","0","","","","110","172","","","0.619499868342815","36.53","39","6","5","2","0","0","0","","","","","","","","","","","","","","",""
"Z2 40Min + strides*10 + 5Min z1","Run","strides are controlled 20–30 second accelerations (about 50–100 meters) reaching 85-95% of maximum effort","1.34444444444444","","2026-03-09","","16146.849609375","226","519","1176.17","","1.44446384906769","3.10500001907349","","165","","143","178","","","0.67725541442253","74.07","31","44","6","4","1","0","0","","","","3","2","1","1","2","79","","","","","1","1"
"GEIGER +1 + 13M","Bike","","1.5","","2026-03-10","","24272.44921875","125","211","676.173","","1.5","4.49399995803833","","77","","150","164","","","0.821625810201853","100.86","15","26","47","1","0","0","0","","","","0","27","13","46","4","0","","","","","",""
"Lap Swimming","Swim","","","","2026-03-10","","2425","","","","","0.879426113234626","0.764260951780649","","26","","126","160","","","0.91916003080713","68.29","39","12","2","0","0","0","0","","","","","","","","","","","","","","1","1"
"Strength","Strength","","","","2026-03-11","","0","","","","","0.352155834436417","0","","","","113","142","","","0.599562334019399","13.66","21","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"ERICSSON + 30M","Bike","","1.5","","2026-03-12","","24206.25","115","207","620.693","","1.5","4.48199987411499","","77","","138","159","","","0.77964453380809","90.55","50","32","9","0","0","0","0","","","","2","47","5","32","4","0","","","","","2","1"
"Z2 - לפי דופק + Z5short fast runs30/30","Run","","1.33333333333333","","2026-03-12","","11282.9501953125","214","525","1027.076","","1.33369362354279","2.34999990463257","","157","","144","178","","","0.690139796167964","70.87","38","22","5","11","3","0","0","","","","9","1","1","1","2","66","","","","","3","1"
"Lap Swimming","Swim","","","","2026-03-12","","2300","","","","","0.855037225617303","0.745059928733398","","23","","129","161","","","0.896647120963843","61.64","37","10","4","0","0","0","0","","","","","","","","","","","","","","2","1"
"Strength","Strength","","","","2026-03-12","","0","","","","","0.962086379528046","0","","","","117","189","","","0.631450135253121","42.45","45","3","7","2","0","0","0","","","","","","","","","","","","","","2","1"
"Brick","Run","","0.833333333333333","","2026-03-13","","7408.3798828125","225","340","678.467","","0.838018596172333","2.45600008964539","","172","","137","148","","","0.615140974240036","34.98","42","9","0","0","0","0","0","","","","0","0","0","0","0","50","","","","","3","3"
"Road Cycling","Bike","","","","2026-03-13","","41001.98828125","","","","","1.99746024608612","5.7020001411438","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Endurance With 2x20 SweetSpot","Bike","","2.2556666665607","","2026-03-14","","43911.94921875","110","185","893.529","","2.25555562973022","5.40700006484985","","63","","135","154","","","0.726139580626416","118.78","91","43","1","0","0","0","0","","","","6","48","56","25","0","0","","","","","",""
"רכיבת נפח","Bike","אימון נפח","4.5","","2026-03-14","","41001.98828125","","","","","1.99746024608612","5.7020001411438","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run z2","Run","","1","","2026-03-14","","9319.3203125","237","322","854.558","","1.00055730342865","2.58699989318848","","167","","141","164","","","0.687698375943461","52.42","21","36","3","0","0","0","0","","","","0","0","0","0","1","59","","","","","4","1"
"Run z2 70min","Run","","1.16666666666667","","2026-03-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FTP Builder","Bike","","1","","2026-03-15","","20353.609375","115","175","412.56","","1","5.65199995040894","","65","","136","154","","","0.750195705966574","56.05","38","21","0","0","0","0","0","","","","4","19","30","6","1","0","","","","","",""
"Strength","Strength","","","","2026-03-15","","0","","","","","0.788738310337067","0","","","","114","161","","","0.608192666915896","32.12","40","6","1","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2026-03-15","","5461.89013671875","146","381","446.296","","0.847391724586487","1.78999996185303","","115","","131","183","","","0.6658220061035","41.44","30","13","4","2","1","0","0","","","","16","2","1","2","5","24","","","","","1","3"
"Z2 40Min + strides*12","Run","strides are controlled 20–30 second accelerations (about 50–100 meters) reaching 85-95% of maximum effort","1.35","","2026-03-16","","11981.0703125","223","526","1082.75","","1.35034668445587","2.46499991416931","","160","","138","172","","","0.642584762203012","62.22","55","19","3","4","0","0","0","","","","6","1","0","0","1","73","","","","","2","1"
"GCN Strength Ramp Power Indoor Cycling","Bike","75 Minute High Intensity TrainingSeries of low candance intervals.","1.25","","2026-03-17","","26351.470703125","120","237","540.253","","1.25","5.85500001907349","","62","","152","174","","","0.800969891349716","79.58","7","31","23","14","0","0","0","","","","0","40","13","7","12","3","","","","","5","1"
"שחייה באפק בשעה 6:00","Swim","","1","","2026-03-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mobility","Other","","","","2026-03-17","","0","","","","","1.01352083683014","0","","","","91","126","","","0.553539272772875","34.42","61","0","0","0","0","0","0","","","","","","","","","","","","","","",""
